PLAYER,PLAYER_ID_ESPN,PLAYER_ID_NBA,PLAYER_NORM
Karlo Matković,4997538,1631255,Karlo Matkovic
Keaton Wallace,4279118,1630811,Keaton Wallace
Keegan Murray,4594327,1631099,Keegan Murray
Kel'el Ware,5105623,1642276,Kel'el Ware
Keldon Johnson,4395723,1629640,Keldon Johnson
Kelly Olynyk,2489663,203482,Kelly Olynyk
Kelly Oubre Jr.,3133603,1626162,Kelly Oubre Jr.
Kenrich Williams,3133626,1629026,Kenrich Williams
Kentavious Caldwell-Pope,2581018,203484,Kentavious Caldwell-Pope
Keon Ellis,4702177,1631165,Keon Ellis
Keon Johnson,4432192,1630553,Keon Johnson
Keshad Johnson,4431786,1642352,Keshad Johnson
Kessler Edwards,4397693,1630556,Kessler Edwards
Kevin Durant,3202,201142,Kevin Durant
Kevin Huerter,4066372,1628989,Kevin Huerter
Kevin Love,3449,201567,Kevin Love
Kevin Porter Jr.,4397140,1629645,Kevin Porter Jr.
Kevon Looney,3155535,1626172,Kevon Looney
Keyonte George,4433627,1641718,Keyonte George
Khris Middleton,6609,203114,Khris Middleton
Klay Thompson,6475,202691,Klay Thompson
Kobe Brown,4431752,1641738,Kobe Brown
Kobe Bufkin,4683736,1641723,Kobe Bufkin
Kris Dunn,2991139,1627739,Kris Dunn
Kris Murray,4594326,1631200,Kris Murray
Kristaps Porziņģis,3102531,204001,Kristaps Porzingis
Kyle Anderson,2993874,203937,Kyle Anderson
Kyle Filipowski,4684793,1642271,Kyle Filipowski
Kyle Kuzma,3134907,1628398,Kyle Kuzma
Kyle Lowry,3012,200768,Kyle Lowry
Kyrie Irving,6442,202681,Kyrie Irving
Kyshawn George,5174563,1642273,Kyshawn George
LaMelo Ball,4432816,1630163,LaMelo Ball
Larry Nance Jr.,2580365,1626204,Larry Nance Jr.
Lauri Markkanen,4066336,1628374,Lauri Markkanen
LeBron James,1966,2544,LeBron James
Lester Quinones,4431720,1631311,Lester Quinones
Liam Robbins,4397347,1641857,Liam Robbins
Lindy Waters III,4066317,1630322,Lindy Waters III
Lonzo Ball,4066421,1628366,Lonzo Ball
Luguentz Dort,4397020,1629652,Luguentz Dort
Luka Dončić,3945274,1629029,Luka Doncic
Luka Garza,4277951,1630568,Luka Garza
Luke Kennard,3913174,1628379,Luke Kennard
Luke Kornet,3064560,1628436,Luke Kornet
Luke Travers,4997539,1631247,Luke Travers
Mac McClung,4397071,1630644,Mac McClung
Malaki Branham,4565201,1631103,Malaki Branham
Malcolm Brogdon,2566769,1627763,Malcolm Brogdon
Malevy Leons,4897449,1642502,Malevy Leons
Malik Beasley,3907822,1627736,Malik Beasley
Malik Monk,4066262,1628370,Malik Monk
MarJon Beauchamp,4432179,1630699,MarJon Beauchamp
Marcus Sasser,4432107,1631204,Marcus Sasser
Marcus Smart,2990992,203935,Marcus Smart
Mark Williams,4701232,1631109,Mark Williams
Markieff Morris,6461,202693,Markieff Morris
Marvin Bagley III,4277848,1628963,Marvin Bagley III
Mason Jones,4395704,1630222,Mason Jones
Mason Plumlee,2488653,203486,Mason Plumlee
Matas Buzelis,4711294,1641824,Matas Buzelis
Matt Ryan,3908336,1630346,Matt Ryan
Max Christie,4432582,1631108,Max Christie
Maxi Kleber,2960236,1628467,Maxi Kleber
Maxwell Lewis,4684286,1641721,Maxwell Lewis
Micah Potter,4066399,1630695,Micah Potter
Michael Porter Jr.,4278104,1629008,Michael Porter Jr.
Mikal Bridges,3147657,1628969,Mikal Bridges
Mike Conley,3195,201144,Mike Conley
Miles Bridges,4066383,1628970,Miles Bridges
Miles McBride,4431823,1630540,Miles McBride
Mo Bamba,4277919,1628964,Mo Bamba
Monté Morris,3059310,1628420,Monte Morris
Moritz Wagner,3150844,1629021,Moritz Wagner
Moses Brown,4397126,1629650,Moses Brown
Moses Moody,4432171,1630541,Moses Moody
Mouhamed Gueye,4712863,1631243,Mouhamed Gueye
Moussa Diabaté,4433249,1631217,Moussa Diabate
Myles Turner,3133628,1626167,Myles Turner
Naji Marshall,4278594,1630230,Naji Marshall
Nate Williams,4397821,1631466,Nate Williams
Naz Reid,4396971,1629675,Naz Reid
Neemias Queta,4397424,1629674,Neemias Queta
Nic Claxton,4278067,1629651,Nic Claxton
Nick Richards,4278076,1630208,Nick Richards
Nick Smith Jr.,4683686,1641733,Nick Smith Jr.
Nickeil Alexander-Walker,4278039,1629638,Nickeil Alexander-Walker
Nicolas Batum,3416,201587,Nicolas Batum
Nikola Jokić,3112335,203999,Nikola Jokic
Nikola Jović,4997528,1631107,Nikola Jovic
Nikola Vučević,6478,202696,Nikola Vucevic
Noah Clowney,4712896,1641730,Noah Clowney
Norman Powell,2595516,1626181,Norman Powell
OG Anunoby,3934719,1628384,OG Anunoby
Obi Toppin,4278355,1630167,Obi Toppin
Ochai Agbaji,4397018,1630534,Ochai Agbaji
Olivier-Maxence Prosper,4595400,1641765,Olivier-Maxence Prosper
Onyeka Okongwu,4431680,1630168,Onyeka Okongwu
Orlando Robinson,4593049,1631115,Orlando Robinson
Oscar Tshiebwe,4432827,1631131,Oscar Tshiebwe
Oso Ighodaro,4601023,1642345,Oso Ighodaro
Ousmane Dieng,4997526,1631172,Ousmane Dieng
P.J. Washington,4278078,1629023,P.J. Washington
PJ Dozier,3923250,1628408,PJ Dozier
PJ Hall,4701225,1641790,PJ Hall
Pacome Dadiet,5211983,1642359,Pacome Dadiet
Paolo Banchero,4432573,1631094,Paolo Banchero
Pascal Siakam,3149673,1627783,Pascal Siakam
Pat Connaughton,2578239,1626192,Pat Connaughton
Pat Spencer,4592714,1630311,Pat Spencer
Patrick Baldwin Jr.,4433246,1631116,Patrick Baldwin Jr.
Patrick Williams,4431687,1630172,Patrick Williams
Patty Mills,4004,201988,Patty Mills
Paul George,4251,202331,Paul George
Paul Reed,4278562,1630194,Paul Reed
Payton Pritchard,4066354,1630202,Payton Pritchard
Pelle Larsson,4601025,1641796,Pelle Larsson
Peyton Watson,4576087,1631212,Peyton Watson
Precious Achiuwa,4431679,1630173,Precious Achiuwa
Quentin Grimes,4397014,1629656,Quentin Grimes
Quenton Jackson,4592829,1631245,Quenton Jackson
Quincy Olivari,4432070,1642439,Quincy Olivari
RJ Barrett,4395625,1629628,RJ Barrett
Rayan Rupert,5099752,1641712,Rayan Rupert
Reece Beekman,4432187,1641736,Reece Beekman
Reed Sheppard,4711272,1642263,Reed Sheppard
Reggie Jackson,6443,202704,Reggie Jackson
Richaun Holmes,2993370,1626158,Richaun Holmes
Ricky Council IV,4701234,1641741,Ricky Council IV
Riley Minix,5177362,1642434,Riley Minix
Rob Dillingham,4684275,1642265,Rob Dillingham
Robert Williams III,4066211,1629057,Robert Williams III
Ronald Holland II,4683771,1641842,Ronald Holland II
Royce O'Neale,2583632,1626220,Royce O'Neale
Rudy Gobert,3032976,203497,Rudy Gobert
Rui Hachimura,4066648,1629060,Rui Hachimura
Russell Westbrook,3468,201566,Russell Westbrook
Ryan Dunn,4888725,1642346,Ryan Dunn
Ryan Rollins,4591725,1631157,Ryan Rollins
Sam Hauser,4065804,1630573,Sam Hauser
Sam Merrill,4066757,1630241,Sam Merrill
Sandro Mamukelashvili,4278580,1630572,Sandro Mamukelashvili
Santi Aldama,4593125,1630583,Santi Aldama
Scoot Henderson,4683678,1630703,Scoot Henderson
Scottie Barnes,4433134,1630567,Scottie Barnes
Scotty Pippen Jr.,4431785,1630590,Scotty Pippen Jr.
Seth Curry,2326307,203552,Seth Curry
Shaedon Sharpe,4914336,1631101,Shaedon Sharpe
Shai Gilgeous-Alexander,4278073,1628983,Shai Gilgeous-Alexander
Shake Milton,3915195,1629003,Shake Milton
Sidy Cissoko,5081727,1631321,Sidy Cissoko
Simone Fontecchio,3899664,1631323,Simone Fontecchio
Spencer Dinwiddie,2580782,203915,Spencer Dinwiddie
Spencer Jones,4592427,1642461,Spencer Jones
Stanley Umude,4279532,1630649,Stanley Umude
Stephen Curry,3975,201939,Stephen Curry
Stephon Castle,4845367,1642264,Stephon Castle
Steven Adams,2991235,203500,Steven Adams
Svi Mykhailiuk,3133602,1629004,Svi Mykhailiuk
T.J. McConnell,2530530,204456,T.J. McConnell
Taj Gibson,3986,201959,Taj Gibson
Talen Horton-Tucker,4396991,1629659,Talen Horton-Tucker
Tari Eason,4433192,1631106,Tari Eason
Taurean Prince,2990962,1627752,Taurean Prince
Taylor Hendricks,4684806,1641707,Taylor Hendricks
Tazé Moore,4066808,1631386,Taze Moore
